title,website,industry,company_size,headquarters,founded,specialties
PolyAI,https://poly.ai,Software Development,51-200 employees,,"Machine Learning, Conversational AI, Voice experiences, Voice Assistants, Customer experience, Digital Transformation, and Artificial Intelligence","Machine Learning, Conversational AI, Voice experiences, Voice Assistants, Customer experience, Digital Transformation, and Artificial Intelligence"
PolyAI,https://poly.ai,,,,"Machine Learning, Conversational AI, Voice experiences, Voice Assistants, Customer experience, Digital Transformation, and Artificial Intelligence","Machine Learning, Conversational AI, Voice experiences, Voice Assistants, Customer experience, Digital Transformation, and Artificial Intelligence"
Tactile Medical,https://www.tactilemedical.com/,,,,"lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers","lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers"
Tactile Medical,https://www.tactilemedical.com/,,,,"lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers","lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers"
Tactile Medical,https://www.tactilemedical.com/,,,,"lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers","lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers"
Tactile Medical,https://www.tactilemedical.com/,,,,"lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers","lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers"
Tactile Medical,https://www.tactilemedical.com/,,,,"lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers","lymphedema, edema, chronic wounds, chronic swelling, venous insufficiency, and venous ulcers"
Bandwidth Inc.,http://www.bandwidth.com,,,,"mobile phones, business voip, WiFi calling, SIP trunking, VoIP, CLEC, Voice API, App developer platform, SMS API, 911, API platform, software, and MMS API","mobile phones, business voip, WiFi calling, SIP trunking, VoIP, CLEC, Voice API, App developer platform, SMS API, 911, API platform, software, and MMS API"
Deloitte,,,,,,
Semrush,,,,,,
NATEEVO,,,,,,
Semrush,,,,,,
NATEEVO,,,,,,
Deloitte,,,,,,
Semrush,,,,,,
NATEEVO,,,,,,
Deloitte,,,,,,
Total Quality Logistics,,,,,,
Bandwidth Inc.,,,,,,
Thomson Reuters,,,,,,
Kognitos,,,,,,
Total Quality Logistics,,,,,,
Bandwidth Inc.,,,,,,
Thomson Reuters,,,,,,
Kognitos,,,,,,
Total Quality Logistics,https://careers.tql.com/us/en?utm_source=linkedin&utm_medium=LI-profile,Truck Transportation,"5,001-10,000 employees","Cincinnati, Ohio",1997,"Total Quality Logistics, Truckload Transportation, Entry Level Sales, Sales, Information Technology, Sales Representative, Account Executive, 3PL, Freight, Freight Brokerage, Logistics, and Supply Chain"
Bandwidth Inc.,http://www.bandwidth.com,Software Development,"1,001-5,000 employees","Raleigh, North Carolina",1999,"mobile phones, business voip, WiFi calling, SIP trunking, VoIP, CLEC, Voice API, App developer platform, SMS API, 911, API platform, software, and MMS API"
Thomson Reuters,http://tr.com,Software Development,"10,001+ employees","Toronto, ON",,"Intelligent Information, Accounting, Legal, Tax, Media, Technology, and News"
Kognitos,https://www.kognitos.com,Software Development,51-200 employees,"San Jose, California",2020,
Ninth Wave,https://www.ninth-wave.com,Financial Services,51-200 employees,"New York, NY",2018,
REEKON Tools,http://www.reekon.tools,Construction,11-50 employees,"Boston, Massachusetts",2020,
Kognitos,https://www.kognitos.com,Software Development,51-200 employees,"San Jose, California",2020,
"KBR, Inc.",http://careers.kbr.com,IT Services and IT Consulting,"10,001+ employees","Houston, Texas",,"Engineering, Aerospace, Defense, Professional Services , Technology, Consulting, Project Management, Operations and Maintenance, Program Management , Energy, cybersecurity, Science, Logistics, Space, Military Space, Intel, Cybersecurity, Sustainability, Supply Chain, Asset Management, Directed Energy, Energy Transition, Sustainable Technology, Readiness and Sustainment, and Base Operation Support"
Total Quality Logistics,https://careers.tql.com/us/en?utm_source=linkedin&utm_medium=LI-profile,Truck Transportation,"5,001-10,000 employees","Cincinnati, Ohio",1997,"Total Quality Logistics, Truckload Transportation, Entry Level Sales, Sales, Information Technology, Sales Representative, Account Executive, 3PL, Freight, Freight Brokerage, Logistics, and Supply Chain"
Bandwidth Inc.,http://www.bandwidth.com,Software Development,"1,001-5,000 employees","Raleigh, North Carolina",1999,"mobile phones, business voip, WiFi calling, SIP trunking, VoIP, CLEC, Voice API, App developer platform, SMS API, 911, API platform, software, and MMS API"
Guarantee Trust Life Insurance Company,http://www.gtlic.com,Insurance,201-500 employees,"Glenview, IL",1936,"Guarantee Trust Life offers a portfolio of competitive health, accident, and life and special risk insurance programs."
Schonfeld,http://www.schonfeld.com/,Financial Services,"501-1,000 employees",,1988,
Total Quality Logistics,https://careers.tql.com/us/en?utm_source=linkedin&utm_medium=LI-profile,Truck Transportation,"5,001-10,000 employees","Cincinnati, Ohio",1997,"Total Quality Logistics, Truckload Transportation, Entry Level Sales, Sales, Information Technology, Sales Representative, Account Executive, 3PL, Freight, Freight Brokerage, Logistics, and Supply Chain"
Bandwidth Inc.,http://www.bandwidth.com,Software Development,"1,001-5,000 employees","Raleigh, North Carolina",1999,"mobile phones, business voip, WiFi calling, SIP trunking, VoIP, CLEC, Voice API, App developer platform, SMS API, 911, API platform, software, and MMS API"
Guarantee Trust Life Insurance Company,http://www.gtlic.com,Insurance,201-500 employees,"Glenview, IL",1936,"Guarantee Trust Life offers a portfolio of competitive health, accident, and life and special risk insurance programs."
Schonfeld,http://www.schonfeld.com/,Financial Services,"501-1,000 employees",,1988,
Total Quality Logistics,https://careers.tql.com/us/en?utm_source=linkedin&utm_medium=LI-profile,Truck Transportation,"5,001-10,000 employees","Cincinnati, Ohio",1997,"Total Quality Logistics, Truckload Transportation, Entry Level Sales, Sales, Information Technology, Sales Representative, Account Executive, 3PL, Freight, Freight Brokerage, Logistics, and Supply Chain"
Bandwidth Inc.,http://www.bandwidth.com,Software Development,"1,001-5,000 employees","Raleigh, North Carolina",1999,"mobile phones, business voip, WiFi calling, SIP trunking, VoIP, CLEC, Voice API, App developer platform, SMS API, 911, API platform, software, and MMS API"
Guarantee Trust Life Insurance Company,http://www.gtlic.com,Insurance,201-500 employees,"Glenview, IL",1936,"Guarantee Trust Life offers a portfolio of competitive health, accident, and life and special risk insurance programs."
Schonfeld,http://www.schonfeld.com/,Financial Services,"501-1,000 employees",,1988,
